#lg	asn	description
http://lg.alsysdata.net	25409	AlsysNet
http://lg.crimea-ix.net	39751	crimea-ix
https://ssl.e-utp.net/cgi-bin/lg/lg.cgi	56662	e-utp.net
http://lg.hotfile.com/	7366	"Lemuria Communications "
http://www.lonap.net/cgi-bin/mrlg.cgi	8330	LONAP
http://noc.spacenet.ru/lg	34300	Internet-CosmosLtd.
http://lg.ix.net.ua	"15645 "	"Ukrainian Exchange UA-IX "
http://lg.ua-ix.net.ua	15645	UA-IX
http://lg.maxiweb.com.br	28140	"Maxiweb Internet Provider"
http://lg.schedom-europe.net/	29587	"Schedom "
http://lg.lagis.at/	35369	"lagis Internet Serviceprovider GmbH"
http://lg.svao-ix.ru	65100	SVAO-IX
http://www.arbital.ru/lg/	44068	"Arbital "
http://lg.inn.ru/	49813	"Innova Distribution LLC"
http://lg.mipt.ru	5467	MIPT-Telecom
http://master.comcor.ru/lg	8732	
http://www.unixsol.org/lg	24770	UnixSolutions
http://lg.t-systems.com.br	53070	"T-Systems Brazil"
http://noc.masterhost.ru/lg	25532	masterhost
http://lg.bulgartel.bg	"44814 "	"BulgarTel "
http://active24.cz/lg/lg.cgi	25234	"ACTIVE 24 "
http://lg.nic.cz/	25192	"CZ.NIC, z.s.p.o."
http://netmon.acad.bg/lg	6802	ISTF
http://ping6.it/	29449	"Ping6.it - V6 only "
http://noc.demos.net/lg/lg/lg.cgi	2578	Demos
http://noc.citylan.ru/lg	25308	CityLanCom
http://lg.smile.smn.lv	39626	"SMILE IXP - Riga,Latvia"
"http://www.six-de.net/lg/ "	"20640 "	"Titan Networks Six-de.net LG "
http://www.bix.hu/lg/lg.cgi	5507	"Budapest IX"
http://www.as34442.net/lg	34442	"Xifos Limited"
http://lg.telefonet.ru	29053	Telenet
http://lg.noc.speedxs.net	30925	CBizz B.V.
http://lg.mnet.bg	21230	MNET
http://tie.telx.com/lg.pl	32299	Telx Route Servers
https://lg.azuria.net	28877	Azuria
http://www.n-ix.net/lg.html	21083	N-IX
http://eng.5ninesdata.com/lg/	16842	5Nines Data, LLC.
http://lg.sib.mts.ru	28884	N/A
http://lg.call27.net	199032	Call27 Limited
http://lg.hexanet.fr	34863	Hexanet
http://lg.ststelecom.com/lg	29877	STS Telecom
http://lg.roilcom.ru	16094	ROILCOM
http://lg.inweb.co.uk	8851	Edge Telecom
http://www.we-dare.net/lookingglass.php	20495	We Dare
http://noc.exobitnetworks.com/lg/lg.cgi	30653	ExobitNetworks
http://www.ncc.itgate.net/lg	12779	IT.Gate S.p.A.
http://lg.cerberus.net.uk/lg	51918	Cerberus Networks Ltd
http://w-ix.com	50384	W-IX LTD
http://noc.iu.nl/lg	35260	Internet Unie Services B.V.
http://noc.widexs.nl/lg	12573	WideXS
http://lg.gin.ru	2854	OrangeBusinessServicesRussia
http://lg.powernet.bg	8877	PowerNet
http://lg.yellowfiber.net/	40015	Yellow Fiber Networks
http://lg.euronet.nl	5390	EuroNet
http://www.uhro.net/lg/	3265	XS4ALL
http://noc.kiev.sovam.com/lg.dhtml	12530	Golden Telecom
http://noc.luna.nl/lg/lg.cgi 	12902	Luna.nl
http://www.rnp.br/servicos/lg	1916	RNP
https://spnet.net/admin/lookingglass.phtml	8717	SpectrumNet (Sofia, Bulgaria)
https://monitoring.ad-sy.ch/cgi-bin/lg.cgi	15716	Adfinis SyGroup AG
http://lg.as16215.net	16215	Genotec Internet Consulting AG
http://noc.isp-services.nl/lg	24875	ISP Services
http://lglass.gcn.bg/lg.cgi	12615	Global Communication Net AD
http://lg.bix.bg/	15669	Bulgarian Internet Exchange
http://lg.nedzone.nl/lg/	25459	NedZone Internet BV
http://lg.heagmedianet.de	12897	HEAGMediaNet
http://lg.ramtel.ru	24638	Rambler
http://lg.globalcom.lv	42979	Globalcom Ltd.
