#lg	asn	description
http://lg.zsttk.ru	21127	N/A
http://lg.host.net  	 13645  	 BroadbandONE / Host.net  
http://lg.nisag.li/	35223	 Newsnet Internet Services AG 
http://lg.phyber.com	7012	 Phyber Communications 
http://lg.psinet.cl/	10778	 NetGlobalis  
http://as9370.bgp4.jp	 9370  	 Sakura Internet  
http://as9371.bgp4.jp	 9371  	 Sakura Internet  
http://lg.as15533.net	15533	 SunGard Availability Services 
http://lg.clearfly.net	27400	 Clearfly Communications 
http://noc.link11.de/lg	34309	Link11
http://as41103.net/bgplg	41103	ClearIP
http://lg.alsysdata.net  	 25409  	 AlsysNet  
http://lg.first-colo.net/	44066	 First Colo GmbH 
http://noc.vtc.ru/lg/lg.html	8920	Vostoktelecom
http://www.olsson.net/lg.cgi	5491	 Olsson Dot Net  
http://www.kamp-lookingglass.de	8648	 KAMP Netzwerkdienste GmbH 
http://lg.cxnet.dk/cgi-bin/bgplg	31661	 ComX Networks 
http://lg01.colo01.bbtower.ad.jp	 9607  	 BroadBand Tower - Japan  
http://looking-glass.galacsys.net	28855	GalacSYS
http://lg.onvoy.net/cgi-bin/bgplg  	 5006  	 Onvoy  
http://202.59.229.226/cgi-bin/bgplg	45444	 PPS Internet 
http://rs1.swissix.ch/cgi-bin/bgplg	42476	 Swiss Internet Exchange (Route Server) 
http://rs2.swissix.ch/cgi-bin/bgplg	42476	SwissIX
http://noc.netassist.kiev.ua/lg.php  	 29632  	 NetAssist  
http://www.as29140.net/cgi-bin/bgplg	29140	 Hostserver GmbH 
http://earth.raapid.net/cgi-bin/bgplg	30708	 RAAPID Technical 
http://glass.cprm.net/cgi-bin/lg.cgi  	 8657  	 Marconi Internet Direct  
https://stats.linx.net/cgi-pub/xlg.pl	5459	LINX
http://www.opus1.com/www/looking.html  	 6373  	 Opus One  
http://lg.completel.fr/lookingglass.cgi	 12670  	 Completel  
http://www.dolphins.ch/network/lg.en.php	8758	 Dolphins Network Systems  
http://bluepill.freestone.net/cgi-bin/bgplg	196621	 FreeStone Systems 
http://lookingglass.as8758.net/cgi-bin/bgplg  	 8758  	 Dolphins Network Systems  
http://lg.crimea-ix.net	39751	crimea-ix
http://lg.ibselektronics.pl	49300	IBSELEKTRONICS
http://tools.vocus.com.au/lg/	4826	 Vocus Communications 
http://www.pitentel.cl/cgi-bin/index.html/	19228	 Entel  
http://noc.cv.ua/glass.html  	 21131  	 Sacura Telecom  
https://ssl.e-utp.net/cgi-bin/lg/lg.cgi	56662	e-utp.net
http://lg.hotfile.com/	7366	 Lemuria Communications  
http://as39326.net/lg/	39326	 Goscomb Technologies Limited 
http://www.lonap.net/cgi-bin/mrlg.cgi	8330	LONAP
https://secure.smartterra.eu/lg/lg.cgi	35548	 smartTERRA GmbH 
http://as197913.net/lg	197913	 CCPG Solutions Ltd 
http://noc.nexica.com/lg	24592	NEXICA
http://noc.spacenet.ru/lg	34300	Internet-CosmosLtd.
http://lg.ix.net.ua	 15645  	 Ukrainian Exchange UA-IX  
http://lg.ua-ix.net.ua	15645	UA-IX
http://www.catnix.net/looking-glass	13041	CESCA
http://noc.netpilot.net/cgi-bin/lg/lg.pl  	 15968  	 Netpilot  
http://lg.maxiweb.com.br	28140	 Maxiweb Internet Provider 
http://lg.schedom-europe.net/	29587	 Schedom  
http://lg.lagis.at/	35369	 lagis Internet Serviceprovider GmbH 
http://lg.svao-ix.ru	65100	SVAO-IX
http://looking-glass.teaser.fr/cgi-bin/mrlg.cgi	 13273  	 France Teaser  
http://lg.df.ru/lg.cgi	 8515  	 DataForce  
http://www.arbital.ru/lg/	44068	 Arbital  
http://netrino.co.uk/lg.php	31715	 NetrinoUK Ltd 
http://lg.inn.ru/	49813	 Innova Distribution LLC 
http://lg.anlx.net	25061	 Associated Networks (UK) Ltd 
http://peering.eng.rogers.com/lg	812	 Rogers  
http://lg.mipt.ru	5467	MIPT-Telecom
http://lg.enta.net	 8468  	 Entanet  
http://services.e4a.it/cgi-bin/lg.pl	34695	 E4A s.r.l. 
http://noc.fiberring.com/cgi-bin/lg.cgi	38930	FiberRing
http://master.comcor.ru/lg	8732	   
http://lg.accelance.net/cgi-bin/mrlg.cgi	16073	 Openwide Outsourcing 
http://www.as12316.net/	12316	 Finanz Informatik Technologie Service GmbH & Co KG 
http://www.unixsol.org/lg 	24770	UnixSolutions
http://noc.hts.ru/glass	31240	 JSC Hosting Telesystems  
http://lg.t-systems.com.br	53070	 T-Systems Brazil 
http://noc.masterhost.ru/lg	25532	masterhost
http://lg.bulgartel.bg	 44814  	 BulgarTel  
 http://lg.man-da.de//lg.cgi  	 8365  	 MANDA  
