http://lg.mohonmaaf.com

nice>term len 0
nice>show ip bgp summary 
BGP router identifier 218.100.27.129, local AS number 7717
BGP table version is 33061737, main routing table version 33061737
14055 network entries using 1714710 bytes of memory
16381 path entries using 851812 bytes of memory
224179/1439 BGP path/bestpath attribute entries using 17037604 bytes of memory
79866 BGP AS-PATH entries using 2868788 bytes of memory
1461 BGP community entries using 74638 bytes of memory
63 BGP extended community entries using 1890 bytes of memory
0 BGP route-map cache entries using 0 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 22549442 total bytes of memory
Dampening enabled. 0 history paths, 0 dampened paths
2238 received paths for inbound soft reconfiguration
BGP activity 24837946/24823891 prefixes, 39428023/39411642 paths, scan interval 60 secs

Neighbor        V    AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
103.22.232.132  4 45295   36201   91405 33061737    0    0 3w0d           10
103.22.232.134  4  9422   47444  107286 33061737    0    0 4w0d           32
103.22.232.135  4 58386   68331  120079 33061737    0    0 5w6d            1
103.22.232.140  4 58553   31887   59972 33061737    0    0 2w5d            5
103.22.232.141  4 23456   68309  120080 33061737    0    0 5w6d            3
103.22.232.143  4 23456   68337  120080 33061737    0    0 5w6d            3
103.22.232.144  4 24538   68385  120079 33061737    0    0 5w6d            4
103.22.232.145  4 46062   56917   63761 33061737    0    0 1w4d            1
103.22.232.146  4 23456   68336  120080 33061737    0    0 5w6d            3
218.100.27.7    4 55693   36486   69702 33061737    0    0 3w1d            8
218.100.27.18   4 55655   91230  170662 33061737    0    0 9w0d           35
218.100.27.20   4 38152       0       0        0    0    0 4w4d     Idle
218.100.27.24   4 45786   31904   69115 33061737    0    0 3w1d           48
218.100.27.27   4 46037  279202  472270 33061737    0    0 27w6d           2
218.100.27.28   4 55418   70161  110670 33061737    0    0 3w1d            1
218.100.27.34   4 45731  146389  236732 33061737    0    0 12w4d           9
218.100.27.38   4 46020  280968  472244 33061737    0    0 27w6d           2
218.100.27.43   4 45725  162468  234643 33061737    0    0 7w3d           37
218.100.27.45   4 45707   19780   34006 33061737    0    0 1w5d           19
218.100.27.49   4 18355  269498  421355 33061737    0    0 24w2d           3
