http://as-ielo.net/lg
Sun Oct 28 18:03:04.743 UTC
RP/0/RSP0/CPU0:frpar-eqx3-a9k1#show bgp ipv4 unicast summary
Sun Oct 28 18:03:05.713 UTC
BGP router identifier 212.85.145.240, local AS number 29075
BGP generic scan interval 60 secs
Non-stop routing is enabled
BGP table state: Active
Table ID: 0xe0000000   RD version: 4294967295
BGP main routing table version 77256080
BGP NSR Initial initsync version 1680363908 (Reached)
BGP tunnel nexthop version 1
BGP scan interval 60 secs

BGP is operating in STANDALONE mode.


Process       RcvTblVer   bRIB/RIB   LabelVer  ImportVer  SendTblVer  StandbyVer
Speaker        77256080   77255677   77256080   77255677    77255677    77256079

Neighbor        Spk    AS MsgRcvd MsgSent   TblVer  InQ OutQ  Up/Down  St/PfxRcd
37.77.38.1        0 44530 30399105  995123 77255677    0    0     6w3d     108234
37.77.38.12       0 44530 28769581  996066 77255677    0    0     6w3d     108236
80.231.154.181    0  6453 503711646 2094597 77255677    0    0     8w4d     711502
81.52.188.237     0  5511 374217139 2066198 77255677    0    0    15w6d     711332
130.117.20.1      0   174 1410251 1162487 77255677    0    0     2w1d          0
149.6.161.129     0   174 221307953  997873 77255677    0    0    1y37w     711061
178.20.48.88      0 29075  770658 416210737 77255677    0    0     7w2d          5
178.20.49.54      0 49537 1011119 116187836 77255621    0    0    36w5d          0
178.20.49.253     0 29075  939902 1172111 77255677    0    0    27w5d          0
178.20.50.50      0 201313 1166503  968081 77255677    0    0    1y03w          1
178.248.237.29    0 197068 3400173 184069782 77255621    0    0     8w2d          0
185.96.184.3      0 197922 97716872 140135553 77255621    0    0    4d06h         29
185.96.184.7      0 202140 2029172 115855426 77255621    0    0    19w6d          9
185.96.184.50     0 199167  420271       0        0    0    0    2y10w Idle
185.96.184.168    0 39271       0       0        0    0    0 00:00:00 Idle
185.96.184.178    0 205181  544565 53771643 77255621    0    0     2w6d          1
185.96.184.192    0 202139  173037  173050 77255677    0    0    17w1d          3
185.96.184.197    0 203683  259182 10178060 77255621    0    0     2w6d          0
185.96.187.167    0 29075 1164028 3933042 77255677    0    0     3w3d      75157
185.96.187.172    0 29075   13306 1642083 77255677    0    0     1w2d          0
185.96.187.189    0 29075   95361 30287710 77255677    0    0     6w4d         15
185.96.187.193    0 29075 22410692 125884318 77255677    0    0     7w2d     120921
185.96.187.236    0 29075  775251 554628728 77255677    0    0    33w0d          8
185.96.187.237    0 29075 5440481 593351365 77255677    0    0     7w2d          1
185.96.187.242    0 29075 15842151 416182527 77255677    0    0    1y24w         73
185.96.187.243    0 29075  849971 416383175 77255677    0    0    1y24w          2
185.96.187.244    0 29075 142457209 416182526 77255677    0    0    1y24w     329987
185.96.187.245    0 29075 49981091 416237963 77255677    0    0    1y04w     104685
185.96.187.255    0 29075 29848956 416128581 77255677    0    0     7w2d      34230
193.34.197.192    0 47214  681745  613844 77255677    0    0     2w6d        314
195.42.144.7      0  8218  926821  913281 77255677    0    0    21w2d       2091
195.42.144.8      0 29169 1884923 1102506 77255677    0    0    26w5d         34
195.42.144.11     0 47841 3931544 2064158 77255677    0    0    32w2d          3
195.42.144.15     0 13193 1515622 1226994 77255677    0    0    32w2d         87
195.42.144.17     0    42 1655315  751620        0    0    0    25w2d Active
195.42.144.18     0  3856 1449682  524738        0    0    0    45w3d Active
195.42.144.22     0 44980 2068870 2053975        0    0    0 00:23:41 Idle
195.42.144.30     0  8426       0       0        0    0    0 00:00:00 Active
195.42.144.36     0  4651 3190693 1083440 77255677    0    0    12w2d       3550
195.42.144.37     0 30126 1306394  246760        0    0    0    1y19w Active
195.42.144.39     0 30889 1972818 1095794 77255677    0    0    32w2d         15
195.42.144.44     0 43531 3823243 2049926 77255677    0    0    2d08h       1464
195.42.144.47     0 34019 3640736 1061362 77255677    0    0    21w4d         25
195.42.144.50     0 12350 2098844 1097788 77255677    0    0    5d03h         31
195.42.144.51     0 31500       0       0        0    0    0 00:00:00 Active
195.42.144.59     0 35189       0       0        0    0    0 00:00:00 Active
195.42.144.64     0  8554 2178989 1153577 77255677    0    0    22w4d          9
195.42.144.65     0 15133 3924007 2065991 77255677    0    0    16w1d         41
195.42.144.66     0 15557 1950991 1095560 77255677    0    0    32w2d        504
195.42.144.74     0 29608  854560       0        0    0    0    2y02w Idle (PfxCt)
195.42.144.77     0 50858 2015345 1101669 77255677    0    0    4d04h          3
195.42.144.80     0 34997       0       0        0    0    0 00:00:00 Active
195.42.144.82     0 30781 2909641 1095303 77255677    0    0    30w3d        510
195.42.144.89     0 44099 1093246   81787        0    0    0    1y08w Active
195.42.144.96     0 39473       0       0        0    0    0 00:00:00 Active
195.42.144.98     0 24115 15574002 1110920 77255677    0    0    12w5d      14641
195.42.144.99     0 24115 9647749  945069 77255677    0    0    12w5d      14709
195.42.144.104    0  6939 34460178 1098984 77255677    0    0    28w3d     131925
