http://lg.hlkomm.net/
BGP router identifier 85.232.0.1, local AS number 16097
BGP table version is 3012008098, main routing table version 3012008098
719812 network entries using 178513376 bytes of memory
1973840 path entries using 236860800 bytes of memory
220338/134212 BGP path/bestpath attribute entries using 54643824 bytes of memory
134354 BGP AS-PATH entries using 6069770 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
22267 BGP community entries using 1905300 bytes of memory
859 BGP extended community entries using 34826 bytes of memory
59 BGP route-map cache entries using 3776 bytes of memory
1069 BGP filter-list cache entries using 34208 bytes of memory
BGP using 478065880 total bytes of memory
BGP activity 24212796/23417328 prefixes, 857597166/855513078 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
85.232.0.2      4        16097       0       0        1    0    0 24w4d    Idle
85.232.0.3      4        16097   61313 1167647068 3012008235    0    0 5w3d            4
85.232.0.7      4        16097  221341 1101808973 3012008245    0    0 19w4d          70
85.232.0.10     4        16097  220293 1101820753 3012008245    0    0 19w5d          19
85.232.0.11     4        16097  215937 1101763580 3012008245    0    0 19w3d          14
85.232.0.12     4        16097  236409 1101835278 3012008245    0    0 19w5d          33
85.232.0.13     4        16097  318169 1103093169 3012008245    0    0 28w4d          19
85.232.0.14     4        16097   56252 1167652190 3012008245    0    0 5w3d          162
85.232.0.15     4        16097   56111 1167652188 3012008245    0    0 5w3d          127
85.232.0.28     4        16097   61379 1167633458 3012008245    0    0 5w3d          107
85.232.0.29     4        16097   41721 792356413 3012008245    0    0 3w5d           75
85.232.0.30     4        16097   30767 555619671 3012008245    0    0 2w5d            2
85.232.0.31     4        16097  251458 1102148193 3012008245    0    0 22w4d           2
85.232.0.32     4        16097  152759 1100847491 3012008245    0    0 13w2d          20
85.232.0.33     4        16097  220447 1101798081 3012008245    0    0 19w4d           4
85.232.0.34     4        16097  175573 1101157365 3012008245    0    0 15w5d           2
85.232.0.35     4        16097   80972 1167633520 3012008245    0    0 5w3d            3
85.232.0.36     4        16097  132688 1100430973 3012008245    0    0 11w5d           5
85.232.0.37     4        16097  251430 1102148188 3012008245    0    0 22w4d           2
85.232.0.38     4        16097  218159 1101793134 3012008245    0    0 19w4d          42
85.232.0.40     4        16097   39133 716914333 3012008245    0    0 3w2d           13
85.232.0.41     4        16097   37596 679395018 3012008245    0    0 3w2d            2
85.232.0.42     4        16097  175526 1101156917 3012008245    0    0 15w5d           3
85.232.0.43     4        16097       0       0        1    0    0 never    Active
85.232.0.44     4        16097  759556 1113147086 3012008245    0    0 1y16w           3
85.232.0.47     4        16097  221896 1101819306 3012008245    0    0 19w5d           2
85.232.0.48     4        16097  759536 1113148297 3012008245    0    0 1y16w           2
85.232.0.50     4        16097  218240 1101796629 3012008245    0    0 19w4d           4
85.232.0.51     4        16097 971460890 1167637678 3012008245    0    0 5w3d           72
85.232.0.55     4        16097  929798 1167672172 3012008245    0    0 5w3d         1551
85.232.1.1      4        16097  236188 1101833452 3012008245    0    0 19w5d         150
85.232.1.2      4        16097  280818 1101807047 3012008245    0    0 19w4d         189
85.232.1.4      4        16097  359780 1104076251 3012008245    0    0 35w4d          14
85.232.1.5      4        16097  760227 1113148555 3012008245    0    0 1y16w          12
85.232.1.6      4        16097  761898 1113146881 3012008245    0    0 1y16w          18
85.232.1.7      4        16097  884481 1113155301 3012008245    0    0 1y16w         111
85.232.1.9      4        16097  220586 1101837568 3012008245    0    0 19w5d          74
85.232.1.11     4        16097   89071 1167646160 3012008245    0    0 5w3d           34
85.232.1.12     4        16097  222335 1101829302 3012008245    0    0 19w5d          13
85.232.1.13     4        16097   61504 1098784483 3012008245    0    0 5w3d           54
85.232.1.14     4        16097  220719 1101832590 3012008245    0    0 19w5d          42
85.232.1.15     4        16097  222253 1101819312 3012008245    0    0 19w5d          20
85.232.1.16     4        16097  221090 1101811840 3012008245    0    0 19w4d          59
85.232.1.17     4        16097  223266 1101822200 3012008245    0    0 19w4d          76
85.232.1.18     4        16097  235134 1101811279 3012008245    0    0 19w4d          74
85.232.1.19     4        16097  221334 1101807533 3012008245    0    0 19w4d          46
85.232.1.20     4        16097  218519 1101808854 3012008245    0    0 19w4d          42
85.232.1.21     4        16097   62425 1098799687 3012008245    0    0 5w3d           92
85.232.1.22     4        16097  243782 1101804347 3012008245    0    0 19w4d          29
85.232.1.23     4        16097   61339 1167647070 3012008245    0    0 5w3d           23
85.232.1.24     4        16097  759505 1113148489 3012008245    0    0 1y16w           9
85.232.1.25     4        16097   38272 679394867 3012008245    0    0 3w2d          117
85.232.1.26     4        16097  221240 1101796720 3012008245    0    0 19w4d          58
85.232.1.27     4        16097   38023 679394037 3012008245    0    0 3w2d           10
85.232.1.33     4        16097  508339 1105757968 3012008245    0    0 45w5d           2
85.232.1.34     4        16097   75254 1098998191 3012008245    0    0 6w5d            4
85.232.1.35     4        16097  218312 1101796331 3012008245    0    0 19w4d           5
85.232.1.36     4        16097   37636 679394025 3012008245    0    0 3w2d            6
85.232.1.37     4        16097       0       0        1    0    0 never    Active
85.232.1.38     4        16097  220066 1101827822 3012008245    0    0 19w5d          47
85.232.1.39     4        16097  223164 1101825208 3012008245    0    0 19w5d          19
85.232.1.40     4        16097   61335 1167647070 3012008245    0    0 5w3d           25
85.232.1.41     4        16097       0       0        1    0    0 never    Active
85.232.1.42     4        16097  763006 1113146981 3012008245    0    0 1y16w           6
85.232.1.43     4        16097  221105 1101829280 3012008245    0    0 19w5d          77
85.232.1.44     4        16097  220609 1101800051 3012008245    0    0 19w4d          54
85.232.1.45     4        16097  224478 1101828049 3012008245    0    0 19w5d          23
85.232.1.46     4        16097   37619 716914131 3012008245    0    0 3w2d           10
85.232.1.47     4        16097   37608 679394883 3012008245    0    0 3w2d            3
85.232.1.48     4        16097   61323 1167647070 3012008245    0    0 5w3d           22
85.232.1.50     4        16097   61322 1167647070 3012008245    0    0 5w3d           18
85.232.1.51     4        16097   37611 679394940 3012008245    0    0 3w2d            6
85.232.1.52     4        16097  218315 1101797956 3012008245    0    0 19w4d           2
85.232.1.53     4        16097  202961 1101469005 3012008245    0    0 17w2d           2
85.232.1.54     4        16097   61349 1167647072 3012008247    0    0 5w3d           52
85.232.1.55     4        16097  759729 1113146913 3012008247    0    0 1y16w           3
85.232.1.56     4        16097  198638 1101830393 3012008247    0    0 19w5d           2
85.232.1.59     4        16097  767605 1113164051 3012008247    0    0 1y16w          15
85.232.1.60     4        16097  220065 1101830363 3012008247    0    0 19w5d           6
85.232.1.61     4        16097  658352 1108499857 3012008247    0    0 1y7w            3
85.232.1.62     4        16097       0       0        1    0    0 never    Active
85.232.2.1      4        16097  220582 1101796640 3012008247    0    0 19w4d          30
85.232.3.44     4        16097    1799 17863911 3012008247    0    0 14:58:43        0
85.232.3.131    4        16097       0       0        1    0    0 never    Active
85.232.3.153    4        16097   55315 1151223423 3012008247    0    0 5w3d            0
85.232.3.162    4        16097  104109 1099770606 3012008247    0    0 9w2d            0
85.232.3.186    4        16097   61315 1167633460 3012008247    0    0 5w3d           14
109.104.62.226  4        16097  275183 1100065299 3012008247    0    0 11w5d           2
109.104.63.187  4        16097    3879 68907809 3012008247    0    0 2d09h           2
109.104.63.188  4        16097    9988 178293996 3012008247    0    0 6d05h           2
109.104.63.189  4        16097   50766 901997097 3012008247    0    0 4w3d            2
109.104.63.190  4        16097   17637 369937298 3012008247    0    0 1w5d            7
109.104.63.191  4        16097  152791 1100886135 3012008247    0    0 13w4d           3
109.104.63.192  4        16097  131576 1100387808 3012008247    0    0 11w4d           2
109.104.63.193  4        16097   19586 348756464 3012008247    0    0 1w5d            2
109.104.63.194  4        16097   82200 1099125195 3012008247    0    0 7w2d            2
109.104.63.195  4        16097   38016 679394879 3012008247    0    0 3w2d            4
109.104.63.196  4        16097  222399 1101835353 3012008247    0    0 19w5d           3
109.104.63.197  4        16097  176517 1101146080 3012008247    0    0 15w5d           2
109.104.63.198  4        16097  150594 1100855456 3012008247    0    0 13w3d           2
109.104.63.199  4        16097  347381 1103439796 3012008247    0    0 30w5d           4
109.104.63.200  4        16097  375894 1103732671 3012008247    0    0 33w3d           5
109.104.63.201  4        16097  398695 1104081512 3012008247    0    0 35w2d           5
109.104.63.202  4        16097  172010 1101100059 3012008247    0    0 15w2d           2
109.104.63.203  4        16097  522683 1106064569 3012008247    0    0 46w4d           2
109.104.63.204  4        16097  221544 1101802319 3012008247    0    0 19w4d           2
109.104.63.205  4        16097  313273 1102954627 3012008247    0    0 27w6d           3
109.104.63.206  4        16097   38054 679394936 3012008247    0    0 3w2d            4
109.104.63.207  4        16097  221513 1101796442 3012008247    0    0 19w4d           6
109.104.63.208  4        16097  221498 1101799634 3012008247    0    0 19w4d           4
109.104.63.209  4        16097  622095 1107641850 3012008247    0    0 1y3w            3
109.104.63.210  4        16097 120950937 1098761118 3012008247    0    0 1y1w       315354
109.104.63.211  4        16097  667398 1108581280 3012008247    0    0 1y7w            3
109.104.63.212  4        16097  658829 1108145334 3012008247    0    0 1y6w            2
109.104.63.213  4        16097  228454 1101881018 3012008247    0    0 20w2d           2
109.104.63.214  4        16097 252304842 1101933292 3012008247    0    0 1y11w      470955
109.104.63.215  4        16097  223056 1101819309 3012008247    0    0 19w5d          16
109.104.63.216  4        16097  345885 1103441333 3012008247    0    0 30w5d           4
109.104.63.217  4        16097  222434 1101834834 3012008247    0    0 19w5d           3
109.104.63.218  4        16097  658766 1108144255 3012008247    0    0 1y6w            2
109.104.63.219  4        16097  221575 1101803452 3012008247    0    0 19w4d           2
