http://lg.ix.net.ua
BGP router identifier 195.35.65.1, local AS number 15645
BGP table version is 93442649, main routing table version 93442649
75890 network entries using 18820720 bytes of memory
114962 path entries using 13795440 bytes of memory
46930/19800 BGP path/bestpath attribute entries using 11263200 bytes of memory
18064 BGP AS-PATH entries using 917296 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
1626 BGP community entries using 90054 bytes of memory
23 BGP extended community entries using 800 bytes of memory
101 BGP route-map cache entries using 6464 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 44893974 total bytes of memory
16408 received paths for inbound soft reconfiguration
BGP activity 10174181/10098025 prefixes, 60516035/60400689 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
2001:7F8:5D::E  4        31148       0       0        1    0    0 never    Idle
185.1.50.4      4        12294  624698 15345292 93442649    0    0 38w0d         174
185.1.50.5      4        24700   20439  230137 93442649    0    0 6d09h          10
185.1.50.6      4        44827   27028  376844 93442649    0    0 1w1d            3
185.1.50.7      4        12788  593264 13305923 93442649    0    0 1y4w            6
185.1.50.8      4         8856  125886 1872838 93442649    0    0 5w4d           19
185.1.50.9      4        12883  104586 2364870 93442649    0    0 7w2d          131
185.1.50.13     4         3261  179325 2280229 93442649    0    0 6w5d          116
185.1.50.14     4        15497  849015 14431655 93442649    0    0 1y11w          36
185.1.50.15     4        12883  524181 8255908 93442649    0    0 28w3d         388
185.1.50.16     4         8788 1272147 10446181 93442649    0    0 40w3d          20
185.1.50.17     4        12593  159801 2280321 93442649    0    0 6w5d           31
185.1.50.18     4        13053       0       0        1    0    0 8w3d     Idle
185.1.50.19     4        35795  151174 2280007 93442649    0    0 6w5d            5
185.1.50.20     4        24962       0       0        1    0    0 2w2d     Active
185.1.50.21     4        24593  404546 10085752 93442649    0    0 38w0d          19
185.1.50.22     4        16007   18232  454122 93442649    0    0 1w4d            5
185.1.50.23     4        16066  162480 2280130 93442649    0    0 6w5d           23
185.1.50.24     4         6702    5319   95856 93442649    0    0 3d05h          29
185.1.50.25     4        12963    8024   95636 93442649    0    0 3d04h          99
185.1.50.26     4        12548  129881 3912448 93442649    0    0 12w5d           1
185.1.50.27     4        15895   88038 1312597 93442649    0    0 3w6d          142
185.1.50.29     4        13032   68619 1723270 93442649    0    0 5w3d           31
185.1.50.30     4         3254    4850   96114 93442649    0    0 3d05h           8
185.1.50.31     4        41165  164732 2513114 93442649    0    0 7w2d           10
185.1.50.33     4        42396  522820 2546077 93442649    0    0 6w5d           41
185.1.50.34     4         3326       0       0        1    0    0 1y5w     Active
185.1.50.35     4         6846  920715 10866162 93442649    0    0 38w2d          50
185.1.50.37     4        31148  241113 3970071 93442649    0    0 12w6d         626
185.1.50.38     4        35297  444823 6056327 93442649    0    0 20w4d         345
185.1.50.39     4        48533  326931 8208345 93442649    0    0 28w4d          11
185.1.50.40     4        35362  539297 7223062 93442649    0    0 23w2d          53
185.1.50.41     4         6876    4511   48139 93442649    0    0 1d07h          29
185.1.50.42     4        15738  166523 2280061 93442649    0    0 6w5d           89
185.1.50.43     4        21379 1283102 11016252 93442649    0    0 43w5d          15
185.1.50.44     4        48648  171597 2279924 93442649    0    0 6w5d           62
185.1.50.45     4        43576  155041 2289145 93442649    0    0 6w5d           30
185.1.50.46     4        24703  179576 3237371 93442649    0    0 9w4d          113
185.1.50.47     4        20833   80313 2688089 93442649    0    0 7w6d            2
185.1.50.49     4        12687      29   19850 93442649    0    0 00:07:11       13
185.1.50.50     4        21497  238909 2289522 93442649    0    0 6w5d          223
185.1.50.51     4        25505  147911 1664192 93442649    0    0 4w6d            9
185.1.50.52     4        24896  169143 4718631 93442649    0    0 16w3d          11
185.1.50.53     4        48117   47586 1535173 93442649    0    0 4w4d            4
185.1.50.54     4        25386       0       0        1    0    0 1y8w     Active
185.1.50.55     4        21312  111671 1660038 93442649    0    0 4w6d           14
185.1.50.56     4        41435  915631 11424507 93442649    0    0 41w4d          13
185.1.50.57     4        13249  210034 2595392 93442649    0    0 7w6d          422
185.1.50.59     4        28994  146017 2372512 93442649    0    0 6w5d            3
185.1.50.60     4        28907 1801244 2311059 93442649    0    0 6w5d        15225
185.1.50.61     4         8258 2038900 11640627 93442649    0    0 47w1d           6
185.1.50.62     4        28804       0       0        1    0    0 1y8w     Active
185.1.50.65     4        33817   73661 2340600 93442649    0    0 7w1d            4
185.1.50.66     4        57422       0       0        1    0    0 never    Active
185.1.50.67     4        29102   13941  105231 93442649    0    0 3d05h           1
185.1.50.68     4        13335  140149 2372383 93442649    0    0 6w5d            2
185.1.50.69     4         6886  968141 17969469 93442649    0    0 1y29w          56
185.1.50.70     4        25143  151085 2279989 93442649    0    0 6w5d           10
185.1.50.71     4        20873  151722 2280125 93442649    0    0 6w5d            6
185.1.50.72     4        13307   16756  466999 93442649    0    0 1w3d           55
185.1.50.73     4        21488  200562 2290171 93442649    0    0 6w5d          132
185.1.50.74     4        29491  116374 2460434 93442649    0    0 7w2d           84
185.1.50.75     4        24995  329535 8980008 93442649    0    0 32w0d           8
185.1.50.76     4        13121       0       0        1    0    0 3w6d     Active
185.1.50.77     4        35320 1217789 4918905 93442649    0    0 15w6d        1911
185.1.50.78     4        35365 2000246 9780201 93442649    0    0 36w2d           3
185.1.50.79     4        25500  146668 2279846 93442649    0    0 6w5d            4
185.1.50.80     4        25521  165268 2280298 93442649    0    0 6w5d           57
185.1.50.81     4        39810       0       0        1    0    0 never    Idle (Admin)
185.1.50.82     4        20714  416664 9748208 93442649    0    0 35w5d           5
185.1.50.83     4        29442       0       0        1    0    0 19w6d    Idle
185.1.50.84     4        29062  439773 10030190 93442649    0    0 36w4d          13
