http://rs1.swissix.ch/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::21         24889      36478     199517     0 01w0d17h      3/600
91.206.52.33            24889      36466     203035     0 01w0d17h     10/12000
91.206.52.53              559      48330     290238     0 01w4d03h    124/12000
91.206.52.139           12347      12992    7110290     0 00:19:10 Idle
91.206.52.55            15623      59910     345255     0 6d06h43m     54/12000
2001:7f8:24::37         15623      59900     370656     0 6d06h43m     12/600
91.206.52.74            15169      75258      64684     0 6d06h42m    161/12000
91.206.52.10             1764      63019     391795     0 3d16h06m    777/12000
91.206.52.152            8075      60052     346005     0 6d06h42m      0/12000
91.206.52.168           25291      60379     348664     0 6d06h42m    143/12000
91.206.52.5             47147      60082     349270     0 6d06h42m      3/12000
91.206.52.102           49605      64085     348763     0 6d06h42m     32/12000
91.206.52.62            42336      60062     348988     0 6d06h42m      6/12000
91.206.52.95            15517      54613     349029     0 6d06h42m      5/12000
91.206.52.126           20612      58981     349375     0 6d06h43m      4/12000
91.206.52.140           47692      63220     346894     0 6d06h42m     72/12000
91.206.52.59            12333      58996     362129     0 6d06h43m      7/12000
91.206.52.172            8220      55144     346316     0 6d06h42m    555/12000
91.206.52.104           42085      54616     349299     0 6d06h43m      1/12000
91.206.52.127           20612      58990     349039     0 6d06h43m      4/12000
91.206.52.44            16242      59000     349372     0 6d06h43m     13/12000
91.206.52.93            16265      54611      73390     0 6d06h42m      0/12000
91.206.52.99             5385      54639     346965     0 6d06h42m     29/12000
91.206.52.18             9100      63557     349329     0 6d06h43m     13/12000
91.206.52.197           51873      54615     349320     0 6d06h42m      4/12000
91.206.52.153           13101      54649     349007     0 6d06h42m     41/12000
91.206.52.175           34309      60326     348014     0 6d06h42m    182/12000
91.206.52.137            9009      54620     361865     0 6d06h42m     15/12000
91.206.52.28            29655      60622     349412     0 6d06h43m     15/12000
91.206.52.155           12387      54659     348864     0 6d06h42m     39/12000
91.206.52.113          205073      59018     349399     0 6d06h43m      4/12000
91.206.52.141           59891      62190     362170     0 6d06h42m      9/12000
91.206.52.216          202032      62361     361811     0 3d01h10m      1/12000
91.206.52.154           51262      62354     349039     0 6d06h42m      2/12000
91.206.52.57            51184      62303     349057     0 6d06h42m      9/12000
91.206.52.133           39063      54620     349413     0 6d06h43m      1/12000
91.206.52.3             13030      60570     349293     0 6d06h43m      0/12000
91.206.52.17            31424      84538     349380     0 6d06h43m     37/12000
91.206.52.2              8758      60615     349399     0 6d06h43m     54/12000
91.206.52.209           29545      62465     347081     0 6d06h42m     14/12000
91.206.52.135          198288      62414     400575     0 6d06h42m      5/12000
91.206.52.54            34554      71113     349398     0 6d06h43m      6/12000
91.206.52.38            59890      58984     347066     0 6d06h43m      5/12000
91.206.52.40            48362      59032     349406     0 6d06h43m     14/12000
91.206.52.111          200924      54351     349419     0 6d06h42m      6/12000
91.206.52.120           42760      62410     361807     0 6d06h42m      5/12000
91.206.52.179           49983     114689     404568     0 6d06h42m      4/12000
91.206.52.191           33891      59754     348975     0 6d06h42m      0/12000
91.206.52.65            51395      59667     349203     0 6d06h43m     28/12000
91.206.52.8             20634      60599     349166     0 6d06h42m     15/12000
91.206.52.36            62035      60067     349370     0 6d06h42m      1/12000
91.206.52.171            3303      60629     349121     0 6d06h42m    535/12000
91.206.52.165           48885      60608     349117     0 6d06h43m      9/12000
91.206.52.132           30786      54395     349404     0 6d06h43m      1/12000
2001:7f8:24::26         59890      59304     374445     0 6d06h43m      1/600
91.206.52.29            24951      59024     349104     0 6d06h43m     25/12000
91.206.52.94             1836      59765     349429     0 6d06h42m      0/12000
91.206.52.14             9044      60625     349251     0 6d06h43m     46/12000
91.206.52.98            59761      62361     349412     0 6d06h42m      2/12000
91.206.52.108          197964      63980     349137     0 6d06h43m      2/12000
91.206.52.202            2686      60077     349380     0 6d06h42m     13/12000
91.206.52.131           25581      63751     349454     0 6d06h43m      3/12000
91.206.52.56            20940      59770      71663     0 6d06h42m     10/12000
91.206.52.163            8453      58987     349119     0 6d06h43m      2/12000
91.206.52.211           61287      60562     349036     0 6d06h43m      5/12000
91.206.52.161          204631      62375     349340     0 6d06h42m      3/12000
2001:7f8:24::99         13101      54627     374945     0 6d06h42m      4/600
2001:7f8:24::a           1764      60906     408521     0 3d16h06m    172/600
2001:7f8:24::5d         16265      54649      79695     0 6d06h42m     49/600
2001:7f8:24::c5         51873      54631     374764     0 6d06h42m      2/600
2001:7f8:24::66         49605      64135     374649     0 6d06h42m     12/600
2001:7f8:24::8c         47692      63063     373312     0 6d06h42m     15/600
2001:7f8:24::b2         25435      54259    2102160     0 2d18h21m      1/600
2001:7f8:24::6f        200924      54359     374703     0 6d06h41m      5/600
2001:7f8:24::4a         15169      63908      77506     0 6d06h42m     27/600
2001:7f8:24::63          5385      54649     374301     0 6d06h42m      5/600
2001:7f8:24::9b         12387      54642     374800     0 6d06h42m      7/600
2001:7f8:24::5f         15517      54632     374787     0 6d06h42m      2/600
2001:7f8:24::5          47147      60102     375153     0 6d06h42m      2/600
2001:7f8:24::84         30786      54410     375208     0 6d06h43m      1/600
2001:7f8:24::85         39063      54637     375187     0 6d06h43m      1/600
2001:7f8:24::3e         42336      60084     386821     0 6d06h42m      0/600
2001:7f8:24::24         62035      60085     375383     0 6d06h42m      1/600
2001:7f8:24::a8         25291      61803     373575     0 6d06h42m     65/600
2001:7f8:24::2b         35223      53453     375421     0 6d06h42m      1/600
91.206.52.187          197439      59055     349237     0 6d06h42m      1/12000
2001:7f8:24::af         34309      59090     375481     0 6d06h42m      8/600
2001:7f8:24::12          9100      59656     375530     0 6d06h43m      2/600
2001:7f8:24::78         42760      62360     386677     0 6d06h42m      1/600
2001:7f8:24::62         59761      62349     375131     0 6d06h42m      1/600
2001:7f8:24::a3          8453      60009     375907     0 6d06h43m      8/600
2001:7f8:24::3b         12333      58995     387302     0 6d06h43m      1/600
2001:7f8:24::28         48362      59021     375495     0 6d06h43m      4/600
2001:7f8:24::8          20634      60610     375495     0 6d06h42m      4/600
2001:7f8:24::41         51395      59679     375793     0 6d06h43m     43/600
2001:7f8:24::b3         49983     114770     417324     0 6d06h42m      1/600
2001:7f8:24::87        198288      62416     420807     0 6d06h42m      3/600
2001:7f8:24::39         51184      62263     375539     0 6d06h42m      5/600
2001:7f8:24::11         31424     113188     375457     0 6d06h43m     15/600
2001:7f8:24::38         20940      59776      77386     0 6d06h42m      1/600
2001:7f8:24::b8         20984      59224     375516     0 6d06h43m      1/600
2001:7f8:24::d8        202032      62377     386929     0 3d01h10m      1/600
2001:7f8:24::d1         29545      62443     374615     0 6d06h42m      1/600
2001:7f8:24::7f         20612      59014     375516     0 6d06h43m      2/600
2001:7f8:24::ca          2686      60110     375475     0 6d06h42m      9/600
