http://www.as29140.net/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
v6-RR2_FFM2_IBGP        29140      52466      52705     0 02w4d07h     53
v6-RR1_FFM2_IBGP        29140      52466      52705     0 02w4d07h     53
v6-BORDER8_IBGP         29140      56133      52705     0 02w4d07h      0
v6-BORDER7_IBGP         29140     769485      52705     0 02w4d07h   1819
v6-BORDER6_IBGP         29140    2392976      52705     0 02w4d07h  25001
v6-BORDER5B_IBGP        29140      52441      52705     0 02w4d07h      0
v6-BORDER5_IBGP         29140      52446      52705     0 02w4d07h      6
v6-BORDER4_IBGP         29140    3410541      52696     0 5d05h28m   1862
v6-BORDER3_IBGP         29140    2985947      52705     0 02w4d07h  19575
v6-BORDER2_IBGP         29140    4309498      52460     0 02:34:59  10624
RR2_FFM2_IBGP           29140      52442      52705     0 02w4d07h      1
RR1_FFM2_IBGP           29140      52442      52705     0 02w4d07h      1
BORDER8_IBGP            29140      56133      52705     0 02w4d07h      0
BORDER7_IBGP            29140    2310313      52705     0 02w4d07h  76628
BORDER6_IBGP            29140    4903590      52705     0 02w4d07h 398166
BORDER5B_IBGP           29140      52442      52705     0 02w4d07h      1
BORDER5_IBGP            29140      52447      52705     0 02w4d07h      9
BORDER4_IBGP            29140    1212223      52696     0 5d05h28m  17072
BORDER3_IBGP            29140     790246      52705     0 02w4d07h  90739
BORDER2_IBGP            29140    2171687      52461     0 02:34:59 130962

success.
http://www.as29140.net/cgi-bin/bgplg
Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
v6-RR2_FFM2_IBGP        29140      52534      52774     0 02w4d07h     53
v6-RR1_FFM2_IBGP        29140      52534      52774     0 02w4d07h     53
v6-BORDER8_IBGP         29140      56206      52774     0 02w4d07h      0
v6-BORDER7_IBGP         29140     769977      52774     0 02w4d07h   1800
v6-BORDER6_IBGP         29140    2395265      52774     0 02w4d07h  25017
v6-BORDER5B_IBGP        29140      52509      52774     0 02w4d07h      0
v6-BORDER5_IBGP         29140      52514      52774     0 02w4d07h      6
v6-BORDER4_IBGP         29140    3413259      52764     0 5d06h02m   1862
v6-BORDER3_IBGP         29140    2987767      52774     0 02w4d07h  19565
v6-BORDER2_IBGP         29140    4312856      52528     0 03:09:22  10647
RR2_FFM2_IBGP           29140      52510      52774     0 02w4d07h      1
RR1_FFM2_IBGP           29140      52510      52774     0 02w4d07h      1
BORDER8_IBGP            29140      56206      52774     0 02w4d07h      0
BORDER7_IBGP            29140    2312588      52774     0 02w4d07h  76627
BORDER6_IBGP            29140    4908355      52774     0 02w4d07h 398220
BORDER5B_IBGP           29140      52510      52774     0 02w4d07h      1
BORDER5_IBGP            29140      52515      52774     0 02w4d07h      9
BORDER4_IBGP            29140    1213732      52764     0 5d06h02m  17031
BORDER3_IBGP            29140     790587      52774     0 02w4d07h  90778
BORDER2_IBGP            29140    2173467      52530     0 03:09:22 130961

success.
