https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::8e          3216          4       2080     0 00:57:43 Active
91.206.52.122           60486       3985       8887     0 22:05:11      9/12000
91.206.52.181            7713       4089       8868     0 22:05:18   2273/12000
91.206.52.149           15547       3992       8895     0 22:05:34     44/12000
91.206.52.158           41549       4015       8891     0 22:05:48     26/12000
91.206.52.123           15517       3984       8913     0 22:05:56      5/12000
91.206.52.84            20932       3993       8908     0 22:06:08     19/12000
91.206.52.144           33965       4012       8926     0 22:06:21     69/12000
91.206.52.19            13250       4347       8947     0 22:06:29      1/12000
91.206.52.61            12041       4245       8980     0 22:06:34      0/12000
91.206.52.196           30419       4414       8361     0 22:06:35      2/12000
91.206.52.159            6507       3967       8975     0 22:06:39      7/12000
91.206.52.121           41549       4021       8961     0 22:06:41     26/12000
91.206.52.87            42909       3984       9047     0 22:06:43      2/12000
91.206.52.73            43531       4626       8933     0 22:06:45   1462/12000
91.206.52.35             6776       3985       9140     0 22:06:45     17/12000
91.206.52.96            31042       4173       8968     0 22:06:47    399/12000
91.206.52.25            31736       3991       9136     0 22:06:47     23/12000
91.206.52.20             6772       4433       9138     0 22:06:51     35/12000
91.206.52.33            24889       4336       9032     0 22:06:42     10/12000
91.206.52.156           15716       4357       9144     0 22:06:53      5/12000
91.206.52.86             2906       3986       7893     0 22:06:54      5/12000
91.206.52.217           22822       4512       7539     0 22:06:57    217/12000
91.206.52.212          204178       4563       9164     0 22:06:58      1/12000
91.206.52.176           25375       4413       9162     0 22:06:58      6/12000
91.206.52.66            20893       3984       9169     0 22:06:58      1/12000
91.206.52.85             2906       3987       7900     0 22:07:03      5/12000
91.206.52.91            41913       4429       9158     0 22:07:04     24/12000
91.206.52.45           198738       4303       9167     0 22:07:10      4/12000
91.206.52.81            15398       3986       9167     0 22:07:11      1/12000
91.206.52.208            3250       3957       9006     0 22:06:33      1/12000
91.206.52.53              559       4068      11552     0 13:39:18    124/12000
91.206.52.72            21040       4415       9166     0 22:07:19      5/12000
91.206.52.82            39764       4301       9167     0 22:07:19      1/12000
91.206.52.189           35054       4311       9163     0 22:07:21      3/12000
91.206.52.203           40627       4413       9171     0 22:07:23      8/12000
91.206.52.34             9092       3982       9174     0 22:07:25      1/12000
91.206.52.206            6775       4548       9172     0 22:07:26      2/12000
91.206.52.145           61174       3993       9227     0 22:07:34      5/12000
91.206.52.150           34288       4337       9347     0 22:07:39      7/12000
91.206.52.157           20984       4315       9350     0 22:07:39      2/12000
91.206.52.110           25563       4405       9367     0 22:07:41      4/12000
91.206.52.174           49867       4298       9353     0 22:07:41      2/12000
91.206.52.116            8218       5691       7946     0 22:07:44   2086/12000
91.206.52.31            48461       3989       9515     0 22:07:53      5/12000
91.206.52.15            15623       4435       9575     0 22:07:57     54/12000
91.206.52.37             9044       4477       9439     0 22:07:57     26/12000
