https://support.linx.net/cgi-bin/rs/members/rslg
{'arg': '', 'rs': 'rs2.lon2', 'query': 'summary'}

Neighbor IP                     AS Number         Since                State         Prefixes Rcvd
--------------------------------------------------------------------------------------------------
195.66.236.101                          5503      2018-08-31 01:20:32  Established              16
195.66.236.106                         37122      2018-08-16 00:14:05  Established              36
195.66.236.109                         47474      2018-08-22 03:19:22  Established              33
195.66.236.117                          8789      2018-10-16 14:32:29  Established               2
195.66.236.120                          5631      2018-10-10 02:56:42  Established               7
195.66.236.121                        206405      2018-10-19 00:25:58  Established               2
195.66.236.125                         15169      2018-09-14 05:20:04  Established             168
195.66.236.131                         28792      2018-08-22 02:10:33  Established               6
195.66.236.132                         29636      2018-10-01 13:49:19  Established               1
195.66.236.136                         13285      2018-08-16 00:14:18  Established             136
195.66.236.141                         29017      2018-09-14 05:42:36  Established              69
195.66.236.143                         16353      2018-08-22 03:02:57  Established              13
195.66.236.144                         16174      2018-08-31 02:54:51  Established               2
195.66.236.149                         10474      2018-08-16 00:14:07  Established              96
195.66.236.150                         61337      2018-08-31 00:18:02  Established               7
195.66.236.151                          8468      2018-09-14 04:11:09  Established             208
195.66.236.155                        199659      2018-08-31 01:29:34  Established               3
195.66.236.157                         25590      2018-08-30 15:53:13  Established               1
195.66.236.162                         21099      2018-08-16 00:14:23  Established               2
195.66.236.170                         44444      2018-08-16 00:13:28  Established               9
195.66.236.178                         30933      2018-09-17 22:08:23  Established               4
195.66.236.18                          16637      2018-08-16 00:14:07  Established            1107
195.66.236.180                          8681      2018-08-16 00:15:21  Established              29
195.66.236.181                         12496      2018-08-31 00:18:00  Established               5
195.66.236.183                         25152      2018-09-14 04:10:26  Established               2
195.66.236.187                         21371      2018-08-16 00:13:36  Established              72
195.66.236.19                          13213      2018-08-16 14:53:48  Established              96
195.66.236.192                         25178      2018-09-14 04:10:21  Established               8
195.66.236.195                         43545      2018-10-11 22:36:04  Established               6
195.66.236.198                          3741      2018-08-31 00:18:42  Established             726
195.66.236.20                          42689      2018-09-14 05:20:13  Established              11
195.66.236.201                         25577      2018-08-30 01:08:11  Established             149
195.66.236.202                         13208      2018-09-11 02:37:23  Established              21
195.66.236.206                          8902      2018-08-22 01:40:48  Established               8
195.66.236.208                         34245      2018-10-15 23:10:35  Established              20
195.66.236.210                         34655      2018-08-31 00:18:01  Established              22
195.66.236.217                         43531      2018-10-16 16:50:22  Established            1462
195.66.236.221                         15766      2018-09-14 02:35:07  Established               8
195.66.236.222                         34746      2018-08-17 01:13:06  Established               1
195.66.236.228                          3213      2018-09-14 04:32:37  Established              45
195.66.236.232                         35228      2018-08-16 00:14:51  Established             123
195.66.236.239                        205402      2018-09-13 09:40:50  Established               1
195.66.236.244                         29527      2018-09-14 04:30:51  Established              10
195.66.236.247                         50957      2018-09-11 09:41:35  Established              11
195.66.236.249                         34066      2018-09-11 00:50:04  Established               4
