https://support.linx.net/cgi-bin/rs/members/rslg
{'arg': '', 'rs': 'rs2.man1', 'query': 'summary'}

Neighbor IP                     AS Number         Since                State         Prefixes Rcvd
--------------------------------------------------------------------------------------------------
195.66.244.1                           31472      2018-10-11 23:28:18  Established               8
195.66.244.100                        197529      2018-10-20 17:54:09  Established               3
195.66.244.101                        203568      2018-10-11 17:27:25  Established               3
195.66.244.12                          35425      2017-11-28 02:16:41  Established              21
195.66.244.16                         199775      2018-10-26 09:21:59  Established               2
195.66.244.18                          15830      2018-10-18 12:24:53  Established             385
195.66.244.19                         199468      2018-10-12 19:26:14  Established               4
195.66.244.2                           20860      2018-10-23 12:41:19  Established             126
195.66.244.23                          41230      2018-09-05 05:42:00  Established              20
195.66.244.254                          5459      2017-11-28 02:16:23  Established               0
195.66.244.27                          43545      2018-10-12 14:45:57  Established               6
195.66.244.3                           62212      2017-11-28 02:16:10  Passive       
195.66.244.30                          34066      2018-10-03 21:39:09  Established               4
195.66.244.36                          42689      2018-10-12 07:20:19  Established              25
195.66.244.37                          57356      2018-10-21 19:38:55  Established              15
195.66.244.38                          35838      2017-11-28 02:16:10  Passive       
195.66.244.39                          25460      2018-10-30 17:08:13  Passive       
195.66.244.40                          33920      2018-02-16 21:30:58  Established              34
195.66.244.41                         199121      2018-09-06 14:57:11  Established               1
195.66.244.43                          13285      2018-10-23 11:33:15  Established             136
195.66.244.45                          56595      2018-08-20 01:22:26  Established              63
195.66.244.47                          15692      2018-10-12 16:02:57  Established              11
195.66.244.48                           8851      2018-10-23 23:24:43  Established              32
195.66.244.5                            9009      2018-01-24 13:07:46  Passive       
195.66.244.51                          25376      2018-08-01 22:37:10  Established               5
195.66.244.53                          20940      2017-11-28 02:16:47  Established               3
195.66.244.54                          34119      2018-02-26 01:26:23  Established              12
195.66.244.58                          61049      2018-10-11 18:09:47  Established              13
195.66.244.6                            6939      2018-10-11 17:22:03  Established           55553
195.66.244.60                          58273      2018-08-09 11:06:04  Established               5
195.66.244.61                          47622      2018-05-28 09:39:45  Established              11
195.66.244.63                           5587      2018-02-07 17:44:09  Established              19
195.66.244.64                          60610      2017-11-28 12:23:03  Established             106
195.66.244.65                         201798      2018-07-24 12:34:52  Established               2
195.66.244.66                         199516      2018-10-11 23:45:06  Established               4
195.66.244.67                          43519      2017-11-28 02:16:23  Established               0
195.66.244.68                         200083      2018-10-11 19:19:03  Established               2
195.66.244.69                          24482      2018-09-27 06:03:45  Established             886
195.66.244.70                          57099      2018-10-12 08:27:08  Established              17
195.66.244.71                          13335      2018-07-12 03:49:40  Established               1
195.66.244.72                          56478      2018-07-16 18:17:07  Established               3
195.66.244.73                          31631      2018-02-06 22:05:01  Established               3
195.66.244.74                          58226      2018-10-11 17:33:02  Established               1
195.66.244.75                          41811      2018-10-11 16:13:30  Established              13
195.66.244.77                          44611      2018-10-12 22:00:15  Established               9
195.66.244.78                          41000      2018-07-11 00:27:15  Established              10
195.66.244.8                           43531      2018-09-13 00:15:29  Established            1462
195.66.244.81                          47869      2018-10-11 17:46:59  Established              46
195.66.244.82                           8075      2018-06-05 04:00:10  Established               0
195.66.244.84                         199706      2017-11-28 02:16:21  Established               2
195.66.244.85                          42473      2018-10-19 11:33:46  Established               6
195.66.244.86                          49375      2018-10-11 19:19:20  Established               5
195.66.244.88                          33941      2018-08-28 10:18:34  Passive       
195.66.244.89                          51043      2018-10-13 23:51:11  Established              13
195.66.244.90                         199330      2018-10-11 16:57:23  Established               3
195.66.244.91                         207195      2018-10-12 14:44:29  Established               3
195.66.244.92                          16315      2018-10-11 17:18:54  Established               1
195.66.244.93                           7713      2018-10-21 06:19:26  Established            4604
195.66.244.94                          61081      2018-10-25 08:37:57  Established               2
195.66.244.96                         204258      2018-10-30 21:56:26  Established               1
195.66.244.97                          41495      2018-10-30 16:15:17  Established               7
195.66.244.98                          33941      2018-10-11 17:59:11  Established              11
195.66.244.99                          50056      2018-09-06 23:02:01  Established              41
