https://lg.core.icm.edu.pl/
{'query': 'summary', 'addr': '', 'protocol': 'IPv6', 'router': 'icm-com'}

Groups: 7 Peers: 11 Down peers: 0
Table          Tot Paths  Act Paths Suppressed    History Damp State    Pending
inet.0           2501638     714249          0          0          0          0
Peer                     AS      InPkt     OutPkt    OutQ   Flaps Last Up/Dwn State|#Active/Received/Accepted/Damped...
212.191.226.1         65533    1009603     763852       0      23 6d 12:02:48 124/1553/1544/0      0/0/0/0
212.191.226.2         65533    1007311     763753       0      24     1w0d12h 569/1553/1544/0      0/0/0/0
212.191.231.49        35628     575332     298113       0       7    13w4d13h 0/9374/0/0           0/0/0/0
212.191.232.49        35628    1084249     683846       0       0     31w2d6h 0/9374/0/0           0/0/0/0
212.191.233.49        13293   50736223     683849       0       0     31w2d6h 459740/711432/711432/0 0/0/0/0
212.191.234.49        13293    6987176      88399       0      14      4w0d8h 0/711426/711426/0    0/0/0/0
212.191.237.49       196844   22526417     286413       0       6    13w0d19h 213515/251121/249938/0 0/0/0/0
212.191.242.49        13293   48852539     762287       0       3    33w1d14h 0/711426/711426/0    0/0/0/0
213.135.50.51          8890     106546     107876       0      30     4w6d14h 3/3/3/0              0/0/0/0
213.135.50.55          8664   20790367     764427       0       2     19w2d4h 40292/93194/93194/0  0/0/0/0
213.135.50.56          8664     945103     763656       0       6    34w6d20h 6/1182/1182/0        0/0/0/0
