https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::8e          3216          4       8206     0 00:04:06 Active
2001:7f8:24:0:d267:e5ff 42909         40      11689     0 00:11:50      2/600
91.206.52.122           60486       7429      26668     0 1d17h12m      9/12000
91.206.52.181            7713       7546      26643     0 1d17h12m   2272/12000
91.206.52.149           15547       7433      26678     0 1d17h12m     44/12000
91.206.52.158           41549       7456      26674     0 1d17h12m     26/12000
91.206.52.123           15517       7424      26696     0 1d17h13m      5/12000
91.206.52.84            20932       7434      26691     0 1d17h13m     19/12000
91.206.52.144           33965       7453      26709     0 1d17h13m     69/12000
91.206.52.19            13250       8083      26730     0 1d17h13m      1/12000
91.206.52.61            12041       7913      26763     0 1d17h13m      0/12000
91.206.52.196           30419       8226      26065     0 1d17h13m      2/12000
91.206.52.159            6507       7391      26758     0 1d17h13m      7/12000
91.206.52.121           41549       7462      26744     0 1d17h13m     26/12000
91.206.52.87            42909       7425      26830     0 1d17h13m      2/12000
91.206.52.73            43531       8384      26703     0 1d17h13m   1463/12000
91.206.52.35             6776       7426      26923     0 1d17h13m     17/12000
91.206.52.96            31042       7636      26743     0 1d17h13m    399/12000
91.206.52.25            31736       7432      26919     0 1d17h13m     23/12000
91.206.52.20             6772       8249      26921     0 1d17h13m     35/12000
91.206.52.33            24889       8073      26815     0 1d17h13m     10/12000
91.206.52.156           15716       8125      26927     0 1d17h13m      5/12000
91.206.52.86             2906       7427      13210     0 1d17h13m      5/12000
91.206.52.217           22822       8350      12810     0 1d17h14m    218/12000
91.206.52.212          204178       8488      26947     0 1d17h14m      1/12000
91.206.52.176           25375       8233      26945     0 1d17h14m      6/12000
91.206.52.66            20893       7426      26952     0 1d17h14m      1/12000
91.206.52.85             2906       7428      13217     0 1d17h14m      5/12000
91.206.52.91            41913       8241      26941     0 1d17h14m     24/12000
91.206.52.45           198738       8019      26950     0 1d17h14m      4/12000
91.206.52.81            15398       7427      26950     0 1d17h14m      1/12000
91.206.52.208            3250       7373      26789     0 1d17h13m      1/12000
91.206.52.53              559       7511      29335     0 1d08h46m    124/12000
91.206.52.72            21040       8224      26949     0 1d17h14m      5/12000
91.206.52.82            39764       8020      26950     0 1d17h14m      1/12000
91.206.52.189           35054       8032      26937     0 1d17h14m      2/12000
91.206.52.203           40627       8222      26954     0 1d17h14m      8/12000
91.206.52.34             9092       7418      26957     0 1d17h14m      1/12000
91.206.52.206            6775       8462      26955     0 1d17h14m      2/12000
91.206.52.145           61174       7443      27010     0 1d17h14m      5/12000
91.206.52.150           34288       8078      27130     0 1d17h14m      7/12000
91.206.52.157           20984       8027      27133     0 1d17h14m      2/12000
91.206.52.110           25563       8209      27150     0 1d17h14m      4/12000
91.206.52.174           49867       8023      27136     0 1d17h14m      2/12000
91.206.52.116            8218       9829      25188     0 1d17h14m   2085/12000
