http://www.as29140.net/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
v6-RR2_FFM2_IBGP        29140      61327      61608     0 03w0d09h     53
v6-RR1_FFM2_IBGP        29140      61327      61608     0 03w0d09h     53
v6-BORDER8_IBGP         29140      65618      61608     0 03w0d09h      0
v6-BORDER7_IBGP         29140     849753      61608     0 03w0d09h   1824
v6-BORDER6_IBGP         29140    2717108      61608     0 03w0d09h  24905
v6-BORDER5B_IBGP        29140      61299      61608     0 03w0d09h      0
v6-BORDER5_IBGP         29140      61304      61608     0 03w0d09h      6
v6-BORDER4_IBGP         29140    3802148      61598     0 01w1d07h   1870
v6-BORDER3_IBGP         29140    3257072      61608     0 03w0d09h  19502
v6-BORDER2_IBGP         29140    4777485      61362     0 3d04h46m  10668
RR2_FFM2_IBGP           29140      61300      61608     0 03w0d09h      1
RR1_FFM2_IBGP           29140      61300      61608     0 03w0d09h      1
BORDER8_IBGP            29140      65618      61608     0 03w0d09h      0
BORDER7_IBGP            29140    2683530      61608     0 03w0d09h  77878
BORDER6_IBGP            29140    5712126      61608     0 03w0d09h 397723
BORDER5B_IBGP           29140      61300      61608     0 03w0d09h      1
BORDER5_IBGP            29140      61305      61608     0 03w0d09h      9
BORDER4_IBGP            29140    1398296      61598     0 01w1d07h  17143
BORDER3_IBGP            29140     886492      61608     0 03w0d09h  90897
BORDER2_IBGP            29140    2461232      61364     0 3d04h46m 130901

success.
